,school_id,name,region,region_name
265,291,Динамит,Санкт-Петербург,Санкт-Петербург Динамит
266,292,АНО ШФК,Республика Башкортостан,Республика Башкортостан АНО ШФК
267,293,АНО Лига фигурного катания,Москва,Москва АНО Лига фигурного катания
268,294,"ГБУ ""МосСпортОбъект"" ЛЦ ""Звезда""",Москва,"Москва ГБУ ""МосСпортОбъект"" ЛЦ ""Звезда"""
269,295,ГУ ТО ОКСШОР,Тульская область,Тульская область ГУ ТО ОКСШОР
270,296,"МБОУ ДО СШ №8 ""Локомотив"", ",Свердловская область,"Свердловская область МБОУ ДО СШ №8 ""Локомотив"", "
271,297,"ЧУДО ДЮСОШ ""СИЯНИЕ"" ",Воронежская область,"Воронежская область ЧУДО ДЮСОШ ""СИЯНИЕ"" "
272,298,"АНО СК ""ЮНАРМЕЙЦЫ""",Севастополь,"Севастополь АНО СК ""ЮНАРМЕЙЦЫ"""
273,300,"ГАУ РО ""ХК ""Рязань-ВДВ""",Рязанская область,"Рязанская область ГАУ РО ""ХК ""Рязань-ВДВ"""
274,301,"МБУ ""ЦФКиС г. Лобня"" ",Московская область,"Московская область МБУ ""ЦФКиС г. Лобня"" "
275,302,СШ №2,Республика Башкортостан,Республика Башкортостан СШ №2
276,303,"ООО ""СетПоинт""",Москва,"Москва ООО ""СетПоинт"""
277,304,СШ по ЗВС,Пензенская область,Пензенская область СШ по ЗВС
278,305,Прогресс,Алтайский край,Алтайский край Прогресс
279,609,"""СШ ""Гвоздика""",Удмуртская республика,"Удмуртская республика ""СШ ""Гвоздика"""
280,610,"СШОР ""Надежда Губернии",Саратовская область,"Саратовская область СШОР ""Надежда Губернии"
281,611,КФК «Айсберг»,Пермский край,Пермский край КФК «Айсберг»
282,1836,"ООО ""Триумф""",Москва,"Москва ООО ""Триумф"""
